"","px","py","POSID","IDX"
"1",0.2744,0.2002,"YA00",1
"2",0.2794,0.2105,"YA00",2
"3",0.2849,0.2105,"YA00",3
"4",0.2799,0.2002,"YA00",4
"5",0.2689,0.2002,"Y900",5
"6",0.2739,0.2105,"Y900",6
"7",0.2794,0.2105,"Y900",7
"8",0.2744,0.2002,"Y900",8
"9",0.2634,0.2002,"Y800",9
"10",0.2684,0.2105,"Y800",10
"11",0.2739,0.2105,"Y800",11
"12",0.2689,0.2002,"Y800",12
"13",0.2579,0.2002,"Y700",13
"14",0.2629,0.2105,"Y700",14
"15",0.2684,0.2105,"Y700",15
"16",0.2634,0.2002,"Y700",16
"17",0.2524,0.2002,"Y600",17
"18",0.2574,0.2105,"Y600",18
"19",0.2629,0.2105,"Y600",19
"20",0.2579,0.2002,"Y600",20
"21",0.2469,0.2002,"Y500",21
"22",0.2519,0.2105,"Y500",22
"23",0.2574,0.2105,"Y500",23
"24",0.2524,0.2002,"Y500",24
"25",0.2413,0.2002,"Y400",25
"26",0.2463,0.2105,"Y400",26
"27",0.2519,0.2105,"Y400",27
"28",0.2469,0.2002,"Y400",28
"29",0.2358,0.2002,"Y300",29
"30",0.2408,0.2105,"Y300",30
"31",0.2463,0.2105,"Y300",31
"32",0.2413,0.2002,"Y300",32
"33",0.2303,0.2002,"Y200",33
"34",0.2353,0.2105,"Y200",34
"35",0.2408,0.2105,"Y200",35
"36",0.2358,0.2002,"Y200",36
"37",0.2248,0.2002,"Y100",37
"38",0.2298,0.2105,"Y100",38
"39",0.2353,0.2105,"Y100",39
"40",0.2303,0.2002,"Y100",40
"41",0.2794,0.2105,"ZA00",41
"42",0.2844,0.2209,"ZA00",42
"43",0.2899,0.2209,"ZA00",43
"44",0.2849,0.2105,"ZA00",44
"45",0.2739,0.2105,"Z900",45
"46",0.2789,0.2209,"Z900",46
"47",0.2844,0.2209,"Z900",47
"48",0.2794,0.2105,"Z900",48
"49",0.2684,0.2105,"Z800",49
"50",0.2734,0.2209,"Z800",50
"51",0.2789,0.2209,"Z800",51
"52",0.2739,0.2105,"Z800",52
"53",0.2629,0.2105,"Z700",53
"54",0.2679,0.2209,"Z700",54
"55",0.2734,0.2209,"Z700",55
"56",0.2684,0.2105,"Z700",56
"57",0.2574,0.2105,"Z600",57
"58",0.2624,0.2209,"Z600",58
"59",0.2679,0.2209,"Z600",59
"60",0.2629,0.2105,"Z600",60
"61",0.2519,0.2105,"Z500",61
"62",0.2569,0.2209,"Z500",62
"63",0.2624,0.2209,"Z500",63
"64",0.2574,0.2105,"Z500",64
"65",0.2463,0.2105,"Z400",65
"66",0.2513,0.2209,"Z400",66
"67",0.2569,0.2209,"Z400",67
"68",0.2519,0.2105,"Z400",68
"69",0.2408,0.2105,"Z300",69
"70",0.2458,0.2209,"Z300",70
"71",0.2513,0.2209,"Z300",71
"72",0.2463,0.2105,"Z300",72
"73",0.2353,0.2105,"Z200",73
"74",0.2403,0.2209,"Z200",74
"75",0.2458,0.2209,"Z200",75
"76",0.2408,0.2105,"Z200",76
"77",0.2298,0.2105,"Z100",77
"78",0.2348,0.2209,"Z100",78
"79",0.2403,0.2209,"Z100",79
"80",0.2353,0.2105,"Z100",80
"81",0.2844,0.2209,"AA00",81
"82",0.2894,0.2312,"AA00",82
"83",0.2949,0.2312,"AA00",83
"84",0.2899,0.2209,"AA00",84
"85",0.2789,0.2209,"A900",85
"86",0.2839,0.2312,"A900",86
"87",0.2894,0.2312,"A900",87
"88",0.2844,0.2209,"A900",88
"89",0.2734,0.2209,"A800",89
"90",0.2784,0.2312,"A800",90
"91",0.2839,0.2312,"A800",91
"92",0.2789,0.2209,"A800",92
"93",0.2679,0.2209,"A700",93
"94",0.2729,0.2312,"A700",94
"95",0.2784,0.2312,"A700",95
"96",0.2734,0.2209,"A700",96
"97",0.2624,0.2209,"A600",97
"98",0.2674,0.2312,"A600",98
"99",0.2729,0.2312,"A600",99
"100",0.2679,0.2209,"A600",100
"101",0.2569,0.2209,"A500",101
"102",0.2619,0.2312,"A500",102
"103",0.2674,0.2312,"A500",103
"104",0.2624,0.2209,"A500",104
"105",0.2513,0.2209,"A400",105
"106",0.2563,0.2312,"A400",106
"107",0.2619,0.2312,"A400",107
"108",0.2569,0.2209,"A400",108
"109",0.2458,0.2209,"A300",109
"110",0.2508,0.2312,"A300",110
"111",0.2563,0.2312,"A300",111
"112",0.2513,0.2209,"A300",112
"113",0.2403,0.2209,"A200",113
"114",0.2453,0.2312,"A200",114
"115",0.2508,0.2312,"A200",115
"116",0.2458,0.2209,"A200",116
"117",0.2348,0.2209,"A100",117
"118",0.2398,0.2312,"A100",118
"119",0.2453,0.2312,"A100",119
"120",0.2403,0.2209,"A100",120
"121",0.2894,0.2312,"BA00",121
"122",0.2944,0.2416,"BA00",122
"123",0.2999,0.2416,"BA00",123
"124",0.2949,0.2312,"BA00",124
"125",0.2839,0.2312,"B900",125
"126",0.2889,0.2416,"B900",126
"127",0.2944,0.2416,"B900",127
"128",0.2894,0.2312,"B900",128
"129",0.2784,0.2312,"B800",129
"130",0.2834,0.2416,"B800",130
"131",0.2889,0.2416,"B800",131
"132",0.2839,0.2312,"B800",132
"133",0.2729,0.2312,"B700",133
"134",0.2779,0.2416,"B700",134
"135",0.2834,0.2416,"B700",135
"136",0.2784,0.2312,"B700",136
"137",0.2674,0.2312,"B600",137
"138",0.2724,0.2416,"B600",138
"139",0.2779,0.2416,"B600",139
"140",0.2729,0.2312,"B600",140
"141",0.2619,0.2312,"B500",141
"142",0.2669,0.2416,"B500",142
"143",0.2724,0.2416,"B500",143
"144",0.2674,0.2312,"B500",144
"145",0.2563,0.2312,"B400",145
"146",0.2613,0.2416,"B400",146
"147",0.2669,0.2416,"B400",147
"148",0.2619,0.2312,"B400",148
"149",0.2508,0.2312,"B300",149
"150",0.2558,0.2416,"B300",150
"151",0.2613,0.2416,"B300",151
"152",0.2563,0.2312,"B300",152
"153",0.2453,0.2312,"B200",153
"154",0.2503,0.2416,"B200",154
"155",0.2558,0.2416,"B200",155
"156",0.2508,0.2312,"B200",156
"157",0.2398,0.2312,"B100",157
"158",0.2448,0.2416,"B100",158
"159",0.2503,0.2416,"B100",159
"160",0.2453,0.2312,"B100",160
"161",0.2944,0.2416,"CA00",161
"162",0.2994,0.2519,"CA00",162
"163",0.3049,0.2519,"CA00",163
"164",0.2999,0.2416,"CA00",164
"165",0.2889,0.2416,"C900",165
"166",0.2939,0.2519,"C900",166
"167",0.2994,0.2519,"C900",167
"168",0.2944,0.2416,"C900",168
"169",0.2834,0.2416,"C800",169
"170",0.2884,0.2519,"C800",170
"171",0.2939,0.2519,"C800",171
"172",0.2889,0.2416,"C800",172
"173",0.2779,0.2416,"C700",173
"174",0.2829,0.2519,"C700",174
"175",0.2884,0.2519,"C700",175
"176",0.2834,0.2416,"C700",176
"177",0.2724,0.2416,"C600",177
"178",0.2774,0.2519,"C600",178
"179",0.2829,0.2519,"C600",179
"180",0.2779,0.2416,"C600",180
"181",0.2669,0.2416,"C500",181
"182",0.2719,0.2519,"C500",182
"183",0.2774,0.2519,"C500",183
"184",0.2724,0.2416,"C500",184
"185",0.2613,0.2416,"C400",185
"186",0.2663,0.2519,"C400",186
"187",0.2719,0.2519,"C400",187
"188",0.2669,0.2416,"C400",188
"189",0.2558,0.2416,"C300",189
"190",0.2608,0.2519,"C300",190
"191",0.2663,0.2519,"C300",191
"192",0.2613,0.2416,"C300",192
"193",0.2503,0.2416,"C200",193
"194",0.2553,0.2519,"C200",194
"195",0.2608,0.2519,"C200",195
"196",0.2558,0.2416,"C200",196
"197",0.2448,0.2416,"C100",197
"198",0.2498,0.2519,"C100",198
"199",0.2553,0.2519,"C100",199
"200",0.2503,0.2416,"C100",200
"201",0.2994,0.2519,"DA00",201
"202",0.3044,0.2623,"DA00",202
"203",0.3099,0.2623,"DA00",203
"204",0.3049,0.2519,"DA00",204
"205",0.2939,0.2519,"D900",205
"206",0.2989,0.2623,"D900",206
"207",0.3044,0.2623,"D900",207
"208",0.2994,0.2519,"D900",208
"209",0.2884,0.2519,"D800",209
"210",0.2934,0.2623,"D800",210
"211",0.2989,0.2623,"D800",211
"212",0.2939,0.2519,"D800",212
"213",0.2829,0.2519,"D700",213
"214",0.2879,0.2623,"D700",214
"215",0.2934,0.2623,"D700",215
"216",0.2884,0.2519,"D700",216
"217",0.2774,0.2519,"D600",217
"218",0.2824,0.2623,"D600",218
"219",0.2879,0.2623,"D600",219
"220",0.2829,0.2519,"D600",220
"221",0.2719,0.2519,"D500",221
"222",0.2769,0.2623,"D500",222
"223",0.2824,0.2623,"D500",223
"224",0.2774,0.2519,"D500",224
"225",0.2663,0.2519,"D400",225
"226",0.2713,0.2623,"D400",226
"227",0.2769,0.2623,"D400",227
"228",0.2719,0.2519,"D400",228
"229",0.2608,0.2519,"D300",229
"230",0.2658,0.2623,"D300",230
"231",0.2713,0.2623,"D300",231
"232",0.2663,0.2519,"D300",232
"233",0.2553,0.2519,"D200",233
"234",0.2603,0.2623,"D200",234
"235",0.2658,0.2623,"D200",235
"236",0.2608,0.2519,"D200",236
"237",0.2498,0.2519,"D100",237
"238",0.2548,0.2623,"D100",238
"239",0.2603,0.2623,"D100",239
"240",0.2553,0.2519,"D100",240
"241",0.3044,0.2623,"EA00",241
"242",0.3094,0.2726,"EA00",242
"243",0.3149,0.2726,"EA00",243
"244",0.3099,0.2623,"EA00",244
"245",0.2989,0.2623,"E900",245
"246",0.3039,0.2726,"E900",246
"247",0.3094,0.2726,"E900",247
"248",0.3044,0.2623,"E900",248
"249",0.2934,0.2623,"E800",249
"250",0.2984,0.2726,"E800",250
"251",0.3039,0.2726,"E800",251
"252",0.2989,0.2623,"E800",252
"253",0.2879,0.2623,"E700",253
"254",0.2929,0.2726,"E700",254
"255",0.2984,0.2726,"E700",255
"256",0.2934,0.2623,"E700",256
"257",0.2824,0.2623,"E600",257
"258",0.2874,0.2726,"E600",258
"259",0.2929,0.2726,"E600",259
"260",0.2879,0.2623,"E600",260
"261",0.2769,0.2623,"E500",261
"262",0.2819,0.2726,"E500",262
"263",0.2874,0.2726,"E500",263
"264",0.2824,0.2623,"E500",264
"265",0.2713,0.2623,"E400",265
"266",0.2763,0.2726,"E400",266
"267",0.2819,0.2726,"E400",267
"268",0.2769,0.2623,"E400",268
"269",0.2658,0.2623,"E300",269
"270",0.2708,0.2726,"E300",270
"271",0.2763,0.2726,"E300",271
"272",0.2713,0.2623,"E300",272
"273",0.2603,0.2623,"E200",273
"274",0.2653,0.2726,"E200",274
"275",0.2708,0.2726,"E200",275
"276",0.2658,0.2623,"E200",276
"277",0.2548,0.2623,"E100",277
"278",0.2598,0.2726,"E100",278
"279",0.2653,0.2726,"E100",279
"280",0.2603,0.2623,"E100",280
"281",0.3094,0.2726,"FA00",281
"282",0.3144,0.2829,"FA00",282
"283",0.3199,0.2829,"FA00",283
"284",0.3149,0.2726,"FA00",284
"285",0.3039,0.2726,"F900",285
"286",0.3089,0.2829,"F900",286
"287",0.3144,0.2829,"F900",287
"288",0.3094,0.2726,"F900",288
"289",0.2984,0.2726,"F800",289
"290",0.3034,0.2829,"F800",290
"291",0.3089,0.2829,"F800",291
"292",0.3039,0.2726,"F800",292
"293",0.2929,0.2726,"F700",293
"294",0.2979,0.2829,"F700",294
"295",0.3034,0.2829,"F700",295
"296",0.2984,0.2726,"F700",296
"297",0.2874,0.2726,"F600",297
"298",0.2924,0.2829,"F600",298
"299",0.2979,0.2829,"F600",299
"300",0.2929,0.2726,"F600",300
"301",0.2819,0.2726,"F500",301
"302",0.2869,0.2829,"F500",302
"303",0.2924,0.2829,"F500",303
"304",0.2874,0.2726,"F500",304
"305",0.2763,0.2726,"F400",305
"306",0.2813,0.2829,"F400",306
"307",0.2869,0.2829,"F400",307
"308",0.2819,0.2726,"F400",308
"309",0.2708,0.2726,"F300",309
"310",0.2758,0.2829,"F300",310
"311",0.2813,0.2829,"F300",311
"312",0.2763,0.2726,"F300",312
"313",0.2653,0.2726,"F200",313
"314",0.2703,0.2829,"F200",314
"315",0.2758,0.2829,"F200",315
"316",0.2708,0.2726,"F200",316
"317",0.2598,0.2726,"F100",317
"318",0.2648,0.2829,"F100",318
"319",0.2703,0.2829,"F100",319
"320",0.2653,0.2726,"F100",320
"321",0.3144,0.2829,"GA00",321
"322",0.3194,0.2933,"GA00",322
"323",0.3249,0.2933,"GA00",323
"324",0.3199,0.2829,"GA00",324
"325",0.3089,0.2829,"G900",325
"326",0.3139,0.2933,"G900",326
"327",0.3194,0.2933,"G900",327
"328",0.3144,0.2829,"G900",328
"329",0.3034,0.2829,"G800",329
"330",0.3084,0.2933,"G800",330
"331",0.3139,0.2933,"G800",331
"332",0.3089,0.2829,"G800",332
"333",0.2979,0.2829,"G700",333
"334",0.3029,0.2933,"G700",334
"335",0.3084,0.2933,"G700",335
"336",0.3034,0.2829,"G700",336
"337",0.2924,0.2829,"G600",337
"338",0.2974,0.2933,"G600",338
"339",0.3029,0.2933,"G600",339
"340",0.2979,0.2829,"G600",340
"341",0.2869,0.2829,"G500",341
"342",0.2919,0.2933,"G500",342
"343",0.2974,0.2933,"G500",343
"344",0.2924,0.2829,"G500",344
"345",0.2813,0.2829,"G400",345
"346",0.2863,0.2933,"G400",346
"347",0.2919,0.2933,"G400",347
"348",0.2869,0.2829,"G400",348
"349",0.2758,0.2829,"G300",349
"350",0.2808,0.2933,"G300",350
"351",0.2863,0.2933,"G300",351
"352",0.2813,0.2829,"G300",352
"353",0.2703,0.2829,"G200",353
"354",0.2753,0.2933,"G200",354
"355",0.2808,0.2933,"G200",355
"356",0.2758,0.2829,"G200",356
"357",0.2648,0.2829,"G100",357
"358",0.2698,0.2933,"G100",358
"359",0.2753,0.2933,"G100",359
"360",0.2703,0.2829,"G100",360
"361",0.3194,0.2933,"HA00",361
"362",0.3244,0.3036,"HA00",362
"363",0.3299,0.3036,"HA00",363
"364",0.3249,0.2933,"HA00",364
"365",0.3139,0.2933,"H900",365
"366",0.3189,0.3036,"H900",366
"367",0.3244,0.3036,"H900",367
"368",0.3194,0.2933,"H900",368
"369",0.3084,0.2933,"H800",369
"370",0.3134,0.3036,"H800",370
"371",0.3189,0.3036,"H800",371
"372",0.3139,0.2933,"H800",372
"373",0.3029,0.2933,"H700",373
"374",0.3079,0.3036,"H700",374
"375",0.3134,0.3036,"H700",375
"376",0.3084,0.2933,"H700",376
"377",0.2974,0.2933,"H600",377
"378",0.3024,0.3036,"H600",378
"379",0.3079,0.3036,"H600",379
"380",0.3029,0.2933,"H600",380
"381",0.2919,0.2933,"H500",381
"382",0.2969,0.3036,"H500",382
"383",0.3024,0.3036,"H500",383
"384",0.2974,0.2933,"H500",384
"385",0.2863,0.2933,"H400",385
"386",0.2913,0.3036,"H400",386
"387",0.2969,0.3036,"H400",387
"388",0.2919,0.2933,"H400",388
"389",0.2808,0.2933,"H300",389
"390",0.2858,0.3036,"H300",390
"391",0.2913,0.3036,"H300",391
"392",0.2863,0.2933,"H300",392
"393",0.2753,0.2933,"H200",393
"394",0.2803,0.3036,"H200",394
"395",0.2858,0.3036,"H200",395
"396",0.2808,0.2933,"H200",396
"397",0.2698,0.2933,"H100",397
"398",0.2748,0.3036,"H100",398
"399",0.2803,0.3036,"H100",399
"400",0.2753,0.2933,"H100",400
"401",0.3244,0.3036,"IA00",401
"402",0.3294,0.314,"IA00",402
"403",0.3349,0.314,"IA00",403
"404",0.3299,0.3036,"IA00",404
"405",0.3189,0.3036,"I900",405
"406",0.3239,0.314,"I900",406
"407",0.3294,0.314,"I900",407
"408",0.3244,0.3036,"I900",408
"409",0.3134,0.3036,"I800",409
"410",0.3184,0.314,"I800",410
"411",0.3239,0.314,"I800",411
"412",0.3189,0.3036,"I800",412
"413",0.3079,0.3036,"I700",413
"414",0.3129,0.314,"I700",414
"415",0.3184,0.314,"I700",415
"416",0.3134,0.3036,"I700",416
"417",0.3024,0.3036,"I600",417
"418",0.3074,0.314,"I600",418
"419",0.3129,0.314,"I600",419
"420",0.3079,0.3036,"I600",420
"421",0.2969,0.3036,"I500",421
"422",0.3019,0.314,"I500",422
"423",0.3074,0.314,"I500",423
"424",0.3024,0.3036,"I500",424
"425",0.2913,0.3036,"I400",425
"426",0.2963,0.314,"I400",426
"427",0.3019,0.314,"I400",427
"428",0.2969,0.3036,"I400",428
"429",0.2858,0.3036,"I300",429
"430",0.2908,0.314,"I300",430
"431",0.2963,0.314,"I300",431
"432",0.2913,0.3036,"I300",432
"433",0.2803,0.3036,"I200",433
"434",0.2853,0.314,"I200",434
"435",0.2908,0.314,"I200",435
"436",0.2858,0.3036,"I200",436
"437",0.2748,0.3036,"I100",437
"438",0.2798,0.314,"I100",438
"439",0.2853,0.314,"I100",439
"440",0.2803,0.3036,"I100",440
"441",0.2748,0.3036,"I100",441
