"","PRODUCT_NO","MONO","CHIP_CODE","CHIP_PRODUCT_NO","LEADFRAME_NO","WDD"
"1","95.S3806.W0A0C8Z","T05TM7C606-0W1C7JC02","CB09ZB5","40.09455.2C2","44.P6006.K0A","447.5-445"
"2","95.S3806.W0A0C8Z","T05TM7C621-0W4C7JC02","CB09ZB5","40.09455.2C3","44.P6006.K0A","455-452.5"
"3","95.S3806.W0A0C8Z","T05TM7C618-0W2C7GB01","CB09ZB5","40.09455.2C2","44.P6006.K0A","450-447.5"
"4","95.S3806.W0A0C8Z","T05TM7C621-0W4C7H301","CB09ZB5","40.09455.2C3","44.P6006.K0A","455-452.5"
"5","95.S3806.W0A0C8Z","T05TM7C626-0W3C7JC02","CB09ZB5","40.09455.2C3","44.P6006.K0A","452.5-450"
"6","95.S3806.W0A0C8Z","T05TM7C626-0W3C7H301","CB09ZB5","40.09455.2C3","44.P6006.K0A","452.5-450"
"7","95.S3806.W0A0C8Z","T05TM81621-0W4C7H301","CB09ZB5","40.09455.2C3","44.P6006.K0A","455-452.5"
"8","95.S3806.W0A0C8Z","T05TM81618-0W3C7JC02","CB09ZB5","40.09455.2C3","44.P6006.K0A","452.5-450"
"9","95.S3806.W0A0C8Z","T05TM81620-0W3C7JC01","CB09ZB5","40.09455.2C3","44.P6006.K0A","452.5-450"
"10","95.S3806.W0A0C8Z","T05TM81620-0W3C7H302","CB09ZB5","40.09455.2C3","44.P6006.K0A","452.5-450"
"11","95.S3806.W0A0C8Z","T05TM81619-0W2C7H301","CB09ZB5","40.09455.2C3","44.P6006.K0A","450-447.5"
"12","95.S3806.W0A0C8Z","T05TM81613-0W1C7JC02","CB09ZB5","40.09455.2C3","44.P6006.K0A","447.5-445"
"13","95.S3806.W0A0C8Z","T05TM81613-0W1C7J001","CB09ZB5","40.09455.2C3","44.P6006.K0A","447.5-445"
"14","95.S3806.W0A0C8Z","T05TM81621-0W4C7JC02","CB09ZB5","40.09455.2C3","44.P6006.K0A","455-452.5"
"15","95.S3806.W0A0C8Z","T05TM81618-0W3C7H301","CB09ZB5","40.09455.2C3","44.P6006.K0A","452.5-450"
"16","95.S3806.W0A0C8Z","T05TM82622-0W2C7H301","CB09ZB5","40.09455.2C3","44.P6006.K0A","450-447.5"
"17","95.S3806.W0A0C8Z","T05TM82614-0W3C7H302","CB09ZB5","40.09455.2C3","44.P6006.K0A","452.5-450"
"18","95.S3806.W0A0C8Z","T05TM82632-0W1C7LG02","CB09ZB5","40.09455.2C3","44.P6006.K0A","447.5-445"
"19","95.S3806.W0A0C8Z","T05TM82632-0W1C7JC03","CB09ZB5","40.09455.2C3","44.P6006.K0A","447.5-445"
"20","95.S3806.W0A0C8Z","T05TM81620-0W3C7H303","CB09ZB5","40.09455.2C3","44.P6006.K0A","452.5-450"
"21","95.S3806.W0A0C8Z","T05TM82632-0W1C7JC01","CB09ZB5","40.09455.2C3","44.P6006.K0A","447.5-445"
"22","95.S3806.W0A0C8Z","T05TM82614-0W3C7JC01","CB09ZB5","40.09455.2C3","44.P6006.K0A","452.5-450"
"23","95.S3806.W0A0C8Z","T05TM82615-0W4C7H301","CB09ZB5","40.09455.2C3","44.P6006.K0A","455-452.5"
"24","95.S3806.W0A0C8Z","T05TM82624-0W2C7GB01","CB09ZB5","40.09455.2C3","44.P6006.K0A","450-447.5"
"25","95.S3806.W0A0C8Z","T05TM83605-0W3C7H301","CB09ZB5","40.09455.2C3","44.P6006.K0A","452.5-450"
"26","95.S3806.W0A0C8Z","T05TM83605-0W3C7JC02","CB09ZB5","40.09455.2C3","44.P6006.K0A","452.5-450"
"27","95.S3806.W0A0C8Z","T05TM83615-0W2C7H301","CB09ZB5","40.09455.2C3","44.P6006.K0A","450-447.5"
"28","95.S3806.W0A0C8Z","T05TM83605-0W3C7H303","CB09ZB5","40.09455.2C3","44.P6006.K0A","452.5-450"
"29","95.S3806.W0A0C8Z","T05TM83605-0W3C7JC04","CB09ZB5","40.09455.2C3","44.P6006.K0A","452.5-450"
"30","95.S3806.W0A0C8Z","T05TM83606-0W4C7H301","CB09ZB5","40.09455.2C3","44.P6006.K0A","455-452.5"
"31","95.S3806.W0A0C8Z","T05TM83615-0W2C7H302","CB09ZB5","40.09455.2C3","44.P6006.K0A","450-447.5"
"32","95.S3806.W0A0C8Z","T05TM83606-0W4C7JC02","CB09ZB5","40.09455.2C3","44.P6006.K0A","455-452.5"
"33","95.S3806.W0A0C8Z","T05TM82615-0W4C7JC02","CB09ZB5","40.09455.2C3","44.P6006.K0A","455-452.5"
"34","95.S3806.W0A0C8Z","T05TM83606-0W4C7H303","CB09ZB5","40.09455.2C3","44.P6006.K0A","455-452.5"
"35","95.S3806.W0A0C8Z","T05TM84610-0W4C7H301","CB09ZB5","40.09455.2C3","44.P6006.K0A","455-452.5"
"36","95.S3806.W0A0C8Z","T05TM84610-0W4C7JC02","CB09ZB5","40.09455.2C3","44.P6006.K0A","455-452.5"
"37","95.S3806.W0A0C8Z","T05TM84617-0W1C7JC02","CB09ZB5","40.09455.2C3","44.P6006.K0A","447.5-445"
"38","95.S3806.W0A0C8Z","T05TM84609-0W3C7H302","CB09ZB5","40.09455.2C3","44.P6006.K0A","452.5-450"
"39","95.S3806.W0A0C8Z","T05TM84610-0W4C7H303","CB09ZB5","40.09455.2C3","44.P6006.K0A","455-452.5"
"40","95.S3806.W0A0C8Z","T05TM84627-0W2C7H301","CB09ZB5","40.09455.2C3","44.P6006.K0A","450-447.5"
"41","95.S3806.W0A0C8Z","T05TM84617-0W1C7LG01","CB09ZB5","40.09455.2C3","44.P6006.K0A","447.5-445"
"42","95.S3806.W0A0C8Z","T05TM84609-0W3C7H301","CB09ZB5","40.09455.2C3","44.P6006.K0A","452.5-450"
"43","95.S3806.W0A0C8Z","T05TM84G04-0W3C7JC01","CB09ZB5","40.09455.2C3","44.P6006.K0A","452.5-450"
"44","95.S3806.W0A0C8Z","T05TM85X04-0W3C7H301","CB09ZB5","40.09455.2C3","44.P6006.K0A","452.5-450"
"45","95.S3806.W0A0C8Z","T05TM85X02-0W1C7JC01","CB09ZB5","40.09455.2C3","44.P6006.K0A","447.5-445"
"46","95.S3806.W0A0C8Z","T05TM83606-0W4C7JC04","CB09ZB5","40.09455.2C3","44.P6006.K0A","455-452.5"
"47","95.S3806.W0A0C8Z","T05TM84610-0W4C7JC04","CB09ZB5","40.09455.2C3","44.P6006.K0A","455-452.5"
"48","95.S3806.W0A0C8Z","T05TM85611-0W4C7JC01","CB09ZB5","40.09455.2C3","44.P6006.K0A","455-452.5"
"49","95.S3806.W0A0C8Z","T05TM87612-0W4C7JC02","CB09ZB5","40.09455.2C3","44.P6006.K0A","455-452.5"
"50","95.S3806.W0A0C8Z","T05TM87609-0W1C7LG01","CB09ZB5","40.09455.2C3","44.P6006.K0A","447.5-445"
"51","95.S3806.W0A0C8Z","T05TM87609-0W1C7JC02","CB09ZB5","40.09455.2C3","44.P6006.K0A","447.5-445"
"52","95.S3806.W0A0C8Z","T05TM87611-0W3C7H301","CB09ZB5","40.09455.2C3","44.P6006.K0A","452.5-450"
"53","95.S3806.W0A0C8Z","T05TM87611-0W3C7H302","CB09ZB5","40.09455.2C3","44.P6006.K0A","452.5-450"
"54","95.S3806.W0A0C8Z","T05TM87612-0W4C7H303","CB09ZB5","40.09455.2C3","44.P6006.K0A","455-452.5"
"55","95.S3806.W0A0C8Z","T05TM87612-0W4C7JC04","CB09ZB5","40.09455.2C3","44.P6006.K0A","455-452.5"
"56","95.S3806.W0A0C8Z","T05TM87610-0W2C7H301","CB09ZB5","40.09455.2C3","44.P6006.K0A","450-447.5"
"57","95.S3806.W0A0C8Z","T05TM87610-0W2C7H302","CB09ZB5","40.09455.2C3","44.P6006.K0A","450-447.5"
"58","95.S3806.W0A0C8Z","T05TM87612-0W4C7H301","CB09ZB5","40.09455.2C3","44.P6006.K0A","455-452.5"
